j_call_light,IGHV1,IGHV2,IGHV3,IGHV4,IGHV5,IGHV6,IGHV7
IGKJ1,11563,2110,27507,16444,2688,316,885
IGKJ2,10144,1957,23049,14453,2613,299,770
IGKJ3,3875,828,9015,5905,934,132,321
IGKJ4,10538,2045,24999,13980,1851,233,870
IGKJ5,4132,847,9980,5188,702,80,300
IGLJ1,5033,1427,12063,7728,1472,149,772
IGLJ2,11688,3372,24779,20645,2828,291,1853
IGLJ3,7377,2125,18828,11131,2077,208,1312
IGLJ6,1,0,1,2,0,0,0
IGLJ7,232,62,671,441,50,2,36
